pdf_url,year,journal,Answer,id,page
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/AER_shards/1814486_wo_cover_page-11.pdf',1940,AER,1.0,1814486,11
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/AER_shards/1807583_wo_cover_page-2.pdf',1940,AER,2.0,1807583,2
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/AER_shards/1814486_wo_cover_page-12.pdf',1940,AER,1.0,1814486,12
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/QJE_shards/1883340_wo_cover_page-11.pdf',1940,QJE,1.0,1883340,11
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_shards/2967413_wo_cover_page-0.pdf',1940,RES,1.0,2967413,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/AER_shards/1805071_wo_cover_page-9.pdf',1940,AER,2.0,1805071,9
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_shards/2967413_wo_cover_page-1.pdf',1940,RES,1.0,2967413,1
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_shards/2967413_wo_cover_page-2.pdf',1940,RES,1.0,2967413,2
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_shards/2967413_wo_cover_page-4.pdf',1940,RES,2.0,2967413,4
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_shards/2967413_wo_cover_page-5.pdf',1940,RES,1.0,2967413,5
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_shards/2967413_wo_cover_page-8.pdf',1940,RES,1.0,2967413,8
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_shards/2967413_wo_cover_page-11.pdf',1940,RES,1.0,2967413,11
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_shards/2967413_wo_cover_page-12.pdf',1940,RES,1.0,2967413,12
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/QJE_shards/1883333_wo_cover_page-18.pdf',1940,QJE,1.0,1883333,18
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/QJE_shards/1883337_wo_cover_page-1.pdf',1940,QJE,2.0,1883337,1
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/QJE_shards/1883337_wo_cover_page-3.pdf',1940,QJE,1.0,1883337,3
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/QJE_shards/1883337_wo_cover_page-4.pdf',1940,QJE,2.0,1883337,4
