pdf_url,year,journal,Answer,ID,page,Eq_count,Equal_count,Equiv_count,g_count,l_count
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1907265_wo_cover_page-4.pdf',1950,ECONOMETRICA,e1,1907265,4,5,3,2,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1907960_wo_cover_page-3.pdf',1957,ECONOMETRICA,e,1907960,3,10,10,0,0,2
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1905730_wo_cover_page-10.pdf',1951,ECONOMETRICA,1,1905730,10,0,0,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1905567_wo_cover_page-32.pdf',1944,ECONOMETRICA,1,1905567,32,0,0,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1907313_wo_cover_page-6.pdf',1949,ECONOMETRICA,0,1907313,6,0,0,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1907514_wo_cover_page-15.pdf',1958,ECONOMETRICA,te,1907514,15,5,4,0,1,1
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1910131_wo_cover_page-11.pdf',1960,ECONOMETRICA,e,1910131,11,5,7,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1906814_wo_cover_page-13.pdf',1951,ECONOMETRICA,e1,1906814,13,1,1,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1910950_wo_cover_page-4.pdf',1963,ECONOMETRICA,1e,1910950,4,8,14,1,1,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1909285_wo_cover_page-20.pdf',1961,ECONOMETRICA,e,1909285,20,3,3,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1910951_wo_cover_page-8.pdf',1963,ECONOMETRICA,e,1910951,8,4,4,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1910965_wo_cover_page-0.pdf',1963,ECONOMETRICA,1e,1910965,0,0,0,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1909996_wo_cover_page-1.pdf',1963,ECONOMETRICA,1,1909996,1,0,0,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1909353_wo_cover_page-21.pdf',1959,ECONOMETRICA,1,1909353,21,0,0,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1912132_wo_cover_page-14.pdf',1949,ECONOMETRICA,te,1912132,14,1,2,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1905446_wo_cover_page-20.pdf',1953,ECONOMETRICA,t,1905446,20,1,1,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1907410_wo_cover_page-1.pdf',1952,ECONOMETRICA,0,1907410,1,0,0,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1909987_wo_cover_page-2.pdf',1963,ECONOMETRICA,1,1909987,2,0,0,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1907734_wo_cover_page-6.pdf',1960,ECONOMETRICA,e1,1907734,6,13,13,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1910383_wo_cover_page-9.pdf',1955,ECONOMETRICA,t,1910383,9,0,0,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1909319_wo_cover_page-18.pdf',1962,ECONOMETRICA,e1,1909319,18,13,8,2,4,2
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1907383_wo_cover_page-23.pdf',1958,ECONOMETRICA,1,1907383,23,2,2,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1911810_wo_cover_page-7.pdf',1961,ECONOMETRICA,e,1911810,7,7,13,0,1,2
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1909987_wo_cover_page-34.pdf',1963,ECONOMETRICA,0,1909987,34,0,0,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1907646_wo_cover_page-3.pdf',1952,ECONOMETRICA,e1,1907646,3,3,3,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1907409_wo_cover_page-7.pdf',1952,ECONOMETRICA,e1,1907409,7,6,7,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1906886_wo_cover_page-1.pdf',1940,ECONOMETRICA,1,1906886,1,0,0,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1907905_wo_cover_page-9.pdf',1951,ECONOMETRICA,fe,1907905,9,1,1,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1905567_wo_cover_page-34.pdf',1944,ECONOMETRICA,1e,1905567,34,4,2,2,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1905434_wo_cover_page-15.pdf',1944,ECONOMETRICA,e,1905434,15,5,5,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1905731_wo_cover_page-1.pdf',1951,ECONOMETRICA,1,1905731,1,0,0,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1909636_wo_cover_page-7.pdf',1961,ECONOMETRICA,e1,1909636,7,6,2,0,2,3
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1909324_wo_cover_page-16.pdf',1962,ECONOMETRICA,t1,1909324,16,0,0,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1907386_wo_cover_page-12.pdf',1958,ECONOMETRICA,te,1907386,12,14,7,0,0,8
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1909321_wo_cover_page-4.pdf',1962,ECONOMETRICA,e1,1909321,4,8,8,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1907645_wo_cover_page-18.pdf',1952,ECONOMETRICA,e,1907645,18,14,9,0,0,10
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1909101_wo_cover_page-4.pdf',1940,ECONOMETRICA,e1,1909101,4,1,1,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1911294_wo_cover_page-4.pdf',1962,ECONOMETRICA,0,1911294,4,0,0,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1907357_wo_cover_page-2.pdf',1954,ECONOMETRICA,e1,1907357,2,15,17,1,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1907851_wo_cover_page-1.pdf',1952,ECONOMETRICA,e1,1907851,1,13,13,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1907743_wo_cover_page-0.pdf',1957,ECONOMETRICA,e1,1907743,0,11,11,0,0,2
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1910949_wo_cover_page-60.pdf',1963,ECONOMETRICA,0,1910949,60,0,0,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1907744_wo_cover_page-14.pdf',1957,ECONOMETRICA,e1,1907744,14,13,4,0,11,2
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1907320_wo_cover_page-7.pdf',1949,ECONOMETRICA,0,1907320,7,0,0,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1907542_wo_cover_page-20.pdf',1954,ECONOMETRICA,te,1907542,20,1,1,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1907589_wo_cover_page-22.pdf',1958,ECONOMETRICA,fe,1907589,22,2,3,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1905773_wo_cover_page-5.pdf',1946,ECONOMETRICA,e1,1905773,5,2,0,0,1,1
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1907188_wo_cover_page-3.pdf',1945,ECONOMETRICA,1,1907188,3,0,0,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1906815_wo_cover_page-1.pdf',1951,ECONOMETRICA,1,1906815,1,0,0,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1907383_wo_cover_page-28.pdf',1958,ECONOMETRICA,t,1907383,28,0,0,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1907619_wo_cover_page-22.pdf',1958,ECONOMETRICA,3,1907619,22,0,0,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1905718_wo_cover_page-6.pdf',1943,ECONOMETRICA,e,1905718,6,11,12,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1909170_wo_cover_page-6.pdf',1963,ECONOMETRICA,3e,1909170,6,0,0,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1905564_wo_cover_page-4.pdf',1944,ECONOMETRICA,1e,1905564,4,5,5,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1905525_wo_cover_page-30.pdf',1949,ECONOMETRICA,e,1905525,30,28,26,0,3,8
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1906812_wo_cover_page-5.pdf',1951,ECONOMETRICA,1,1906812,5,0,0,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1905580_wo_cover_page-4.pdf',1955,ECONOMETRICA,e,1905580,4,8,6,0,3,2
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1907923_wo_cover_page-16.pdf',1953,ECONOMETRICA,e1,1907923,16,10,11,0,0,1
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1910961_wo_cover_page-1.pdf',1963,ECONOMETRICA,e,1910961,1,32,1,0,16,15
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1907905_wo_cover_page-3.pdf',1951,ECONOMETRICA,e,1907905,3,3,3,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1905384_wo_cover_page-12.pdf',1957,ECONOMETRICA,e,1905384,12,6,1,0,5,1
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1909325_wo_cover_page-10.pdf',1962,ECONOMETRICA,te,1909325,10,4,4,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1907208_wo_cover_page-8.pdf',1950,ECONOMETRICA,e1,1907208,8,1,1,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1906872_wo_cover_page-9.pdf',1941,ECONOMETRICA,e,1906872,9,12,7,0,1,5
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1906815_wo_cover_page-7.pdf',1951,ECONOMETRICA,e1,1906815,7,14,10,0,3,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1906952_wo_cover_page-2.pdf',1953,ECONOMETRICA,ef,1906952,2,6,12,0,0,0
